podNumber,timestamp,consumptionKwh,productionKwh
CH1008400000000000000000000012353,2025-12-01 12:00,0.46,1.45
CH1008400000000000000000000012354,2025-12-01 12:00,0.79,0.0
CH1008400000000000000000000012355,2025-12-01 12:00,1.1,0.95
CH1008400000000000000000000012356,2025-12-01 12:00,0.93,0.0
CH1008400000000000000000000012345,2025-12-01 13:00,0.86,1.12
CH1008400000000000000000000012346,2025-12-01 13:00,0.72,0.86
CH1008400000000000000000000012347,2025-12-01 13:00,0.78,0.0
CH1008400000000000000000000012348,2025-12-01 13:00,0.65,1.57
CH1008400000000000000000000012349,2025-12-01 13:00,0.49,0.0
CH1008400000000000000000000012350,2025-12-01 13:00,0.68,0.76
CH1008400000000000000000000012351,2025-12-01 13:00,0.87,0.0
CH1008400000000000000000000012352,2025-12-01 13:00,0.88,0.0
CH1008400000000000000000000012353,2025-12-01 13:00,0.62,1.38
CH1008400000000000000000000012354,2025-12-01 13:00,0.58,0.0
CH1008400000000000000000000012355,2025-12-01 13:00,0.9,0.88
CH1008400000000000000000000012356,2025-12-01 13:00,0.78,0.0
CH1008400000000000000000000012345,2025-12-01 14:00,0.42,0.94
CH1008400000000000000000000012346,2025-12-01 14:00,0.72,0.74
CH1008400000000000000000000012347,2025-12-01 14:00,0.58,0.0
CH1008400000000000000000000012348,2025-12-01 14:00,0.64,1.32
CH1008400000000000000000000012349,2025-12-01 14:00,0.54,0.0
CH1008400000000000000000000012350,2025-12-01 14:00,0.55,0.59
CH1008400000000000000000000012351,2025-12-01 14:00,0.73,0.0
CH1008400000000000000000000012352,2025-12-01 14:00,0.55,0.0
CH1008400000000000000000000012353,2025-12-01 14:00,0.54,1.08
CH1008400000000000000000000012354,2025-12-01 14:00,0.68,0.0
CH1008400000000000000000000012355,2025-12-01 14:00,0.67,0.83
CH1008400000000000000000000012356,2025-12-01 14:00,0.55,0.0
CH1008400000000000000000000012345,2025-12-01 15:00,0.75,0.69
CH1008400000000000000000000012346,2025-12-01 15:00,0.7,0.46
CH1008400000000000000000000012347,2025-12-01 15:00,0.45,0.0
CH1008400000000000000000000012348,2025-12-01 15:00,0.65,0.9
CH1008400000000000000000000012349,2025-12-01 15:00,0.58,0.0
CH1008400000000000000000000012350,2025-12-01 15:00,0.48,0.38
CH1008400000000000000000000012351,2025-12-01 15:00,0.51,0.0
CH1008400000000000000000000012352,2025-12-01 15:00,0.86,0.0
CH1008400000000000000000000012353,2025-12-01 15:00,0.5,0.74
CH1008400000000000000000000012354,2025-12-01 15:00,0.71,0.0
CH1008400000000000000000000012355,2025-12-01 15:00,0.44,0.58
CH1008400000000000000000000012356,2025-12-01 15:00,0.32,0.0
CH1008400000000000000000000012345,2025-12-01 16:00,0.49,0.36
CH1008400000000000000000000012346,2025-12-01 16:00,0.45,0.25
CH1008400000000000000000000012347,2025-12-01 16:00,0.78,0.0
CH1008400000000000000000000012348,2025-12-01 16:00,0.6,0.48
CH1008400000000000000000000012349,2025-12-01 16:00,0.4,0.0
CH1008400000000000000000000012350,2025-12-01 16:00,0.35,0.21
CH1008400000000000000000000012351,2025-12-01 16:00,0.83,0.0
CH1008400000000000000000000012352,2025-12-01 16:00,0.53,0.0
CH1008400000000000000000000012353,2025-12-01 16:00,0.66,0.38
CH1008400000000000000000000012354,2025-12-01 16:00,0.76,0.0
CH1008400000000000000000000012355,2025-12-01 16:00,0.45,0.31
CH1008400000000000000000000012356,2025-12-01 16:00,0.6,0.0
CH1008400000000000000000000012345,2025-12-01 17:00,0.92,0.12
CH1008400000000000000000000012346,2025-12-01 17:00,1.63,0.09
CH1008400000000000000000000012347,2025-12-01 17:00,1.26,0.0
CH1008400000000000000000000012348,2025-12-01 17:00,1.18,0.16
CH1008400000000000000000000012349,2025-12-01 17:00,1.14,0.0
CH1008400000000000000000000012350,2025-12-01 17:00,1.53,0.08
CH1008400000000000000000000012351,2025-12-01 17:00,1.36,0.0
CH1008400000000000000000000012352,2025-12-01 17:00,0.86,0.0
CH1008400000000000000000000012353,2025-12-01 17:00,1.07,0.14
CH1008400000000000000000000012354,2025-12-01 17:00,1.05,0.0
CH1008400000000000000000000012355,2025-12-01 17:00,1.25,0.1
CH1008400000000000000000000012356,2025-12-01 17:00,1.43,0.0
CH1008400000000000000000000012345,2025-12-01 18:00,1.44,0.0
CH1008400000000000000000000012346,2025-12-01 18:00,1.34,0.0
CH1008400000000000000000000012347,2025-12-01 18:00,0.81,0.0
CH1008400000000000000000000012348,2025-12-01 18:00,1.9,0.0
CH1008400000000000000000000012349,2025-12-01 18:00,1.14,0.0
CH1008400000000000000000000012350,2025-12-01 18:00,1.03,0.0
CH1008400000000000000000000012351,2025-12-01 18:00,1.04,0.0
CH1008400000000000000000000012352,2025-12-01 18:00,1.4,0.0
CH1008400000000000000000000012353,2025-12-01 18:00,1.48,0.0
CH1008400000000000000000000012354,2025-12-01 18:00,1.02,0.0
CH1008400000000000000000000012355,2025-12-01 18:00,1.24,0.0
CH1008400000000000000000000012356,2025-12-01 18:00,1.24,0.0
CH1008400000000000000000000012345,2025-12-01 19:00,1.66,0.0
CH1008400000000000000000000012346,2025-12-01 19:00,0.96,0.0
CH1008400000000000000000000012347,2025-12-01 19:00,1.08,0.0
CH1008400000000000000000000012348,2025-12-01 19:00,1.01,0.0
CH1008400000000000000000000012349,2025-12-01 19:00,1.29,0.0
CH1008400000000000000000000012350,2025-12-01 19:00,1.04,0.0
CH1008400000000000000000000012351,2025-12-01 19:00,1.69,0.0
CH1008400000000000000000000012352,2025-12-01 19:00,1.45,0.0
CH1008400000000000000000000012353,2025-12-01 19:00,0.91,0.0
CH1008400000000000000000000012354,2025-12-01 19:00,1.18,0.0
CH1008400000000000000000000012355,2025-12-01 19:00,0.93,0.0
CH1008400000000000000000000012356,2025-12-01 19:00,1.14,0.0
CH1008400000000000000000000012345,2025-12-01 20:00,1.42,0.0
CH1008400000000000000000000012346,2025-12-01 20:00,1.44,0.0
CH1008400000000000000000000012347,2025-12-01 20:00,1.02,0.0
CH1008400000000000000000000012348,2025-12-01 20:00,0.87,0.0
CH1008400000000000000000000012349,2025-12-01 20:00,1.46,0.0
CH1008400000000000000000000012350,2025-12-01 20:00,1.37,0.0
CH1008400000000000000000000012351,2025-12-01 20:00,1.49,0.0
CH1008400000000000000000000012352,2025-12-01 20:00,1.27,0.0
CH1008400000000000000000000012353,2025-12-01 20:00,0.89,0.0
CH1008400000000000000000000012354,2025-12-01 20:00,1.06,0.0
CH1008400000000000000000000012355,2025-12-01 20:00,1.53,0.0
CH1008400000000000000000000012356,2025-12-01 20:00,0.89,0.0
CH1008400000000000000000000012345,2025-12-01 21:00,0.88,0.0
CH1008400000000000000000000012346,2025-12-01 21:00,0.63,0.0
CH1008400000000000000000000012347,2025-12-01 21:00,0.65,0.0
CH1008400000000000000000000012348,2025-12-01 21:00,0.59,0.0
CH1008400000000000000000000012349,2025-12-01 21:00,0.57,0.0
CH1008400000000000000000000012350,2025-12-01 21:00,0.71,0.0
CH1008400000000000000000000012351,2025-12-01 21:00,0.54,0.0
CH1008400000000000000000000012352,2025-12-01 21:00,0.65,0.0
CH1008400000000000000000000012353,2025-12-01 21:00,0.42,0.0
CH1008400000000000000000000012354,2025-12-01 21:00,0.53,0.0
CH1008400000000000000000000012355,2025-12-01 21:00,0.47,0.0
CH1008400000000000000000000012356,2025-12-01 21:00,0.63,0.0
CH1008400000000000000000000012345,2025-12-01 22:00,0.62,0.0
CH1008400000000000000000000012346,2025-12-01 22:00,0.46,0.0
CH1008400000000000000000000012347,2025-12-01 22:00,0.72,0.0
CH1008400000000000000000000012348,2025-12-01 22:00,0.95,0.0
CH1008400000000000000000000012349,2025-12-01 22:00,0.66,0.0
CH1008400000000000000000000012350,2025-12-01 22:00,0.66,0.0
CH1008400000000000000000000012351,2025-12-01 22:00,0.45,0.0
CH1008400000000000000000000012352,2025-12-01 22:00,0.72,0.0
CH1008400000000000000000000012353,2025-12-01 22:00,0.48,0.0
CH1008400000000000000000000012354,2025-12-01 22:00,0.74,0.0
CH1008400000000000000000000012355,2025-12-01 22:00,0.83,0.0
CH1008400000000000000000000012356,2025-12-01 22:00,0.52,0.0
CH1008400000000000000000000012345,2025-12-01 23:00,0.55,0.0
CH1008400000000000000000000012346,2025-12-01 23:00,0.54,0.0
CH1008400000000000000000000012347,2025-12-01 23:00,0.72,0.0
CH1008400000000000000000000012348,2025-12-01 23:00,0.72,0.0
CH1008400000000000000000000012349,2025-12-01 23:00,0.38,0.0
CH1008400000000000000000000012350,2025-12-01 23:00,0.82,0.0
CH1008400000000000000000000012351,2025-12-01 23:00,0.67,0.0
CH1008400000000000000000000012352,2025-12-01 23:00,0.66,0.0
CH1008400000000000000000000012353,2025-12-01 23:00,0.75,0.0
CH1008400000000000000000000012354,2025-12-01 23:00,0.6,0.0
CH1008400000000000000000000012355,2025-12-01 23:00,0.49,0.0
CH1008400000000000000000000012356,2025-12-01 23:00,0.73,0.0
CH1008400000000000000000000012345,2025-12-02 00:00,0.31,0.0
CH1008400000000000000000000012346,2025-12-02 00:00,0.31,0.0
CH1008400000000000000000000012347,2025-12-02 00:00,0.32,0.0
CH1008400000000000000000000012348,2025-12-02 00:00,0.33,0.0
CH1008400000000000000000000012349,2025-12-02 00:00,0.31,0.0
CH1008400000000000000000000012350,2025-12-02 00:00,0.29,0.0
CH1008400000000000000000000012351,2025-12-02 00:00,0.16,0.0
CH1008400000000000000000000012352,2025-12-02 00:00,0.38,0.0
CH1008400000000000000000000012353,2025-12-02 00:00,0.34,0.0
CH1008400000000000000000000012354,2025-12-02 00:00,0.31,0.0
CH1008400000000000000000000012355,2025-12-02 00:00,0.29,0.0
CH1008400000000000000000000012356,2025-12-02 00:00,0.37,0.0
CH1008400000000000000000000012345,2025-12-02 01:00,0.24,0.0
CH1008400000000000000000000012346,2025-12-02 01:00,0.23,0.0
CH1008400000000000000000000012347,2025-12-02 01:00,0.24,0.0
CH1008400000000000000000000012348,2025-12-02 01:00,0.41,0.0
CH1008400000000000000000000012349,2025-12-02 01:00,0.32,0.0
CH1008400000000000000000000012350,2025-12-02 01:00,0.23,0.0
CH1008400000000000000000000012351,2025-12-02 01:00,0.38,0.0
CH1008400000000000000000000012352,2025-12-02 01:00,0.29,0.0
CH1008400000000000000000000012353,2025-12-02 01:00,0.21,0.0
CH1008400000000000000000000012354,2025-12-02 01:00,0.32,0.0
CH1008400000000000000000000012355,2025-12-02 01:00,0.17,0.0
CH1008400000000000000000000012356,2025-12-02 01:00,0.34,0.0
CH1008400000000000000000000012345,2025-12-02 02:00,0.22,0.0
CH1008400000000000000000000012346,2025-12-02 02:00,0.24,0.0
CH1008400000000000000000000012347,2025-12-02 02:00,0.31,0.0
CH1008400000000000000000000012348,2025-12-02 02:00,0.37,0.0
CH1008400000000000000000000012349,2025-12-02 02:00,0.18,0.0
CH1008400000000000000000000012350,2025-12-02 02:00,0.33,0.0
CH1008400000000000000000000012351,2025-12-02 02:00,0.23,0.0
CH1008400000000000000000000012352,2025-12-02 02:00,0.39,0.0
CH1008400000000000000000000012353,2025-12-02 02:00,0.28,0.0
CH1008400000000000000000000012354,2025-12-02 02:00,0.26,0.0
CH1008400000000000000000000012355,2025-12-02 02:00,0.2,0.0
CH1008400000000000000000000012356,2025-12-02 02:00,0.32,0.0
CH1008400000000000000000000012345,2025-12-02 03:00,0.3,0.0
CH1008400000000000000000000012346,2025-12-02 03:00,0.34,0.0
CH1008400000000000000000000012347,2025-12-02 03:00,0.48,0.0
CH1008400000000000000000000012348,2025-12-02 03:00,0.4,0.0
CH1008400000000000000000000012349,2025-12-02 03:00,0.4,0.0
CH1008400000000000000000000012350,2025-12-02 03:00,0.33,0.0
CH1008400000000000000000000012351,2025-12-02 03:00,0.25,0.0
CH1008400000000000000000000012352,2025-12-02 03:00,0.43,0.0
CH1008400000000000000000000012353,2025-12-02 03:00,0.21,0.0
CH1008400000000000000000000012354,2025-12-02 03:00,0.22,0.0
CH1008400000000000000000000012355,2025-12-02 03:00,0.29,0.0
CH1008400000000000000000000012356,2025-12-02 03:00,0.29,0.0
CH1008400000000000000000000012345,2025-12-02 04:00,0.25,0.0
CH1008400000000000000000000012346,2025-12-02 04:00,0.39,0.0
CH1008400000000000000000000012347,2025-12-02 04:00,0.29,0.0
CH1008400000000000000000000012348,2025-12-02 04:00,0.25,0.0
CH1008400000000000000000000012349,2025-12-02 04:00,0.29,0.0
CH1008400000000000000000000012350,2025-12-02 04:00,0.34,0.0
CH1008400000000000000000000012351,2025-12-02 04:00,0.42,0.0
CH1008400000000000000000000012352,2025-12-02 04:00,0.29,0.0
CH1008400000000000000000000012353,2025-12-02 04:00,0.29,0.0
CH1008400000000000000000000012354,2025-12-02 04:00,0.23,0.0
CH1008400000000000000000000012355,2025-12-02 04:00,0.38,0.0
CH1008400000000000000000000012356,2025-12-02 04:00,0.33,0.0
CH1008400000000000000000000012345,2025-12-02 05:00,0.31,0.0
CH1008400000000000000000000012346,2025-12-02 05:00,0.25,0.0
CH1008400000000000000000000012347,2025-12-02 05:00,0.39,0.0
CH1008400000000000000000000012348,2025-12-02 05:00,0.25,0.0
CH1008400000000000000000000012349,2025-12-02 05:00,0.21,0.0
CH1008400000000000000000000012350,2025-12-02 05:00,0.22,0.0
CH1008400000000000000000000012351,2025-12-02 05:00,0.35,0.0
CH1008400000000000000000000012352,2025-12-02 05:00,0.31,0.0
CH1008400000000000000000000012353,2025-12-02 05:00,0.29,0.0
CH1008400000000000000000000012354,2025-12-02 05:00,0.35,0.0
CH1008400000000000000000000012355,2025-12-02 05:00,0.38,0.0
CH1008400000000000000000000012356,2025-12-02 05:00,0.31,0.0
CH1008400000000000000000000012345,2025-12-02 06:00,0.97,0.0
CH1008400000000000000000000012346,2025-12-02 06:00,1.28,0.0
CH1008400000000000000000000012347,2025-12-02 06:00,0.86,0.0
CH1008400000000000000000000012348,2025-12-02 06:00,0.73,0.0
CH1008400000000000000000000012349,2025-12-02 06:00,0.85,0.0
CH1008400000000000000000000012350,2025-12-02 06:00,0.51,0.0
CH1008400000000000000000000012351,2025-12-02 06:00,0.59,0.0
CH1008400000000000000000000012352,2025-12-02 06:00,0.94,0.0
CH1008400000000000000000000012353,2025-12-02 06:00,0.8,0.0
CH1008400000000000000000000012354,2025-12-02 06:00,0.66,0.0
CH1008400000000000000000000012355,2025-12-02 06:00,0.89,0.0
CH1008400000000000000000000012356,2025-12-02 06:00,0.99,0.0
CH1008400000000000000000000012345,2025-12-02 07:00,0.62,0.02
CH1008400000000000000000000012346,2025-12-02 07:00,0.65,0.01
CH1008400000000000000000000012347,2025-12-02 07:00,0.53,0.0
CH1008400000000000000000000012348,2025-12-02 07:00,0.67,0.02
CH1008400000000000000000000012349,2025-12-02 07:00,0.51,0.0
CH1008400000000000000000000012350,2025-12-02 07:00,0.7,0.01
CH1008400000000000000000000012351,2025-12-02 07:00,0.66,0.0
CH1008400000000000000000000012352,2025-12-02 07:00,0.59,0.0
CH1008400000000000000000000012353,2025-12-02 07:00,0.67,0.01
CH1008400000000000000000000012354,2025-12-02 07:00,0.55,0.0
CH1008400000000000000000000012355,2025-12-02 07:00,0.71,0.02
CH1008400000000000000000000012356,2025-12-02 07:00,0.66,0.0
CH1008400000000000000000000012345,2025-12-02 08:00,0.76,0.05
CH1008400000000000000000000012346,2025-12-02 08:00,0.68,0.04
CH1008400000000000000000000012347,2025-12-02 08:00,1.16,0.0
CH1008400000000000000000000012348,2025-12-02 08:00,0.96,0.06
CH1008400000000000000000000012349,2025-12-02 08:00,0.92,0.0
CH1008400000000000000000000012350,2025-12-02 08:00,0.78,0.02
CH1008400000000000000000000012351,2025-12-02 08:00,0.89,0.0
CH1008400000000000000000000012352,2025-12-02 08:00,0.64,0.0
CH1008400000000000000000000012353,2025-12-02 08:00,0.84,0.03
CH1008400000000000000000000012354,2025-12-02 08:00,1.16,0.0
CH1008400000000000000000000012355,2025-12-02 08:00,0.68,0.03
CH1008400000000000000000000012356,2025-12-02 08:00,1.0,0.0
CH1008400000000000000000000012345,2025-12-02 09:00,0.55,0.11
CH1008400000000000000000000012346,2025-12-02 09:00,0.53,0.07
CH1008400000000000000000000012347,2025-12-02 09:00,0.41,0.0
CH1008400000000000000000000012348,2025-12-02 09:00,0.35,0.1
CH1008400000000000000000000012349,2025-12-02 09:00,0.39,0.0
CH1008400000000000000000000012350,2025-12-02 09:00,0.42,0.07
CH1008400000000000000000000012351,2025-12-02 09:00,0.49,0.0
CH1008400000000000000000000012352,2025-12-02 09:00,0.42,0.0
CH1008400000000000000000000012353,2025-12-02 09:00,0.83,0.1
CH1008400000000000000000000012354,2025-12-02 09:00,0.63,0.0
CH1008400000000000000000000012355,2025-12-02 09:00,0.58,0.14
CH1008400000000000000000000012356,2025-12-02 09:00,0.35,0.0
CH1008400000000000000000000012345,2025-12-02 10:00,0.66,0.18
CH1008400000000000000000000012346,2025-12-02 10:00,0.66,0.07
CH1008400000000000000000000012347,2025-12-02 10:00,0.66,0.0
CH1008400000000000000000000012348,2025-12-02 10:00,0.43,0.33
CH1008400000000000000000000012349,2025-12-02 10:00,0.66,0.0
CH1008400000000000000000000012350,2025-12-02 10:00,0.78,0.14
CH1008400000000000000000000012351,2025-12-02 10:00,0.41,0.0
CH1008400000000000000000000012352,2025-12-02 10:00,0.78,0.0
CH1008400000000000000000000012353,2025-12-02 10:00,0.46,0.12
CH1008400000000000000000000012354,2025-12-02 10:00,0.5,0.0
CH1008400000000000000000000012355,2025-12-02 10:00,0.73,0.16
CH1008400000000000000000000012356,2025-12-02 10:00,0.63,0.0
CH1008400000000000000000000012345,2025-12-02 11:00,0.56,0.35
CH1008400000000000000000000012346,2025-12-02 11:00,0.54,0.16
